renglon,año,entidad,cve_geo,cre_nat,cre_soc,cre_tot,def,edad_med,emi_est,emi_int,evh,evm,ev,hom_mit_año,ind_env,inm_est,inm_int,mig_net_est,mig_net_int,muj_mit_año,nac,pob_mit_año,muj_12_14,muj_15_29,muj_15_49,muj_18_24,muj_3_5,muj_30_64,muj_6_11,muj_65_mas,hom_12_14,hom_15_29,hom_15_49,hom_18_24,hom_3_5,hom_30_64,hom_6_11,hom_65_mas,pob_12_14,pob_15_29,pob_15_49,pob_18_24,pob_3_5,pob_30_64,pob_6_11,pob_65_mas,raz_dep_adu,raz_dep_inf,raz_dep,t_bru_mor,t_bru_nat,t_cre_nat,t_cre_soc,t_cre_tot,t_emi_est,t_inm_est,t_mig_net_est,t_mig_net_int,tmih,tmim,tmi,tef_ado,tgf,fecha_reg
345,1970.0,Campeche,4.0,9258.0,ND,ND,2815.0,15.52,ND,ND,58.99,61.41,60.14,135551.0,7.18,ND,ND,ND,ND,133434.0,12073.0,268985.0,10071.0,33566.0,57164.0,15996.0,13821.0,32148.0,23832.0,4394.0,10079.0,33399.0,57889.0,15860.0,13857.0,33922.0,23777.0,4716.0,20150.0,66965.0,115053.0,31856.0,27678.0,66070.0,47609.0,9110.0,6.85,95.34,102.19,10.47,44.88,3.44,ND,ND,ND,ND,ND,ND,95.07,80.65,88.04,185.21,6.51,2020-07-20
346,1971.0,Campeche,4.0,9782.0,ND,ND,2721.0,15.38,ND,ND,60.22,62.85,61.47,142479.0,7.13,ND,ND,ND,ND,140278.0,12503.0,282757.0,10656.0,35441.0,60120.0,16895.0,14565.0,33518.0,25114.0,4598.0,10668.0,35177.0,60799.0,16692.0,14624.0,35373.0,25090.0,4941.0,21324.0,70618.0,120919.0,33587.0,29189.0,68891.0,50204.0,9539.0,6.84,95.84,102.68,9.62,44.22,3.46,ND,ND,ND,ND,ND,ND,86.76,73.39,80.24,183.25,6.39,2017-09-03
347,1972.0,Campeche,4.0,10131.0,ND,ND,2812.0,15.28,ND,ND,59.99,63.17,61.5,149691.0,7.08,ND,ND,ND,ND,147384.0,12943.0,297075.0,11253.0,37444.0,63240.0,17864.0,15347.0,34942.0,26424.0,4801.0,11268.0,37078.0,63874.0,17590.0,15429.0,36889.0,26436.0,5170.0,22521.0,74522.0,127114.0,35454.0,30776.0,71831.0,52860.0,9971.0,6.81,96.17,102.99,9.47,43.57,3.41,ND,ND,ND,ND,ND,ND,83.77,70.71,77.4,181.56,6.28,2017-05-15
348,1973.0,Campeche,4.0,10450.0,ND,ND,2897.0,15.23,ND,ND,59.95,63.63,61.69,157138.0,7.04,ND,ND,ND,ND,154737.0,13347.0,311875.0,11852.0,39572.0,66539.0,18900.0,16154.0,36442.0,27768.0,5005.0,11871.0,39089.0,67109.0,18551.0,16260.0,38474.0,27819.0,5403.0,23723.0,78661.0,133648.0,37451.0,32414.0,74916.0,55587.0,10408.0,6.78,96.3,103.07,9.29,42.8,3.35,ND,ND,ND,ND,ND,ND,81.86,69.0,75.58,179.37,6.13,2022-09-30
349,1974.0,Campeche,4.0,10832.0,ND,ND,2879.0,15.23,ND,ND,60.35,65.39,62.69,164817.0,7.0,ND,ND,ND,ND,162341.0,13711.0,327158.0,12454.0,41824.0,70020.0,20005.0,16974.0,38025.0,29162.0,5221.0,12475.0,41216.0,70519.0,19577.0,17107.0,40150.0,29247.0,5634.0,24929.0,83040.0,140539.0,39582.0,34081.0,78175.0,58409.0,10855.0,6.73,96.2,102.93,8.8,41.91,3.31,ND,ND,ND,ND,ND,ND,80.28,67.56,74.08,176.75,5.96,2018-12-12
350,1975.0,Campeche,4.0,11123.0,ND,ND,2904.0,15.28,ND,ND,61.01,66.02,63.35,172735.0,6.98,ND,ND,ND,ND,170164.0,14027.0,342899.0,13058.0,44197.0,73680.0,21190.0,17798.0,39691.0,30607.0,5444.0,13081.0,43454.0,74115.0,20679.0,17960.0,41929.0,30727.0,5880.0,26139.0,87651.0,147795.0,41869.0,35758.0,81620.0,61334.0,11324.0,6.69,95.88,102.57,8.47,40.91,3.24,ND,ND,ND,ND,ND,ND,78.98,66.36,72.83,173.72,5.77,2018-05-05
351,1976.0,Campeche,4.0,11328.0,ND,ND,2929.0,15.39,ND,ND,61.25,66.67,63.77,180854.0,6.95,ND,ND,ND,ND,178185.0,14257.0,359039.0,13670.0,46692.0,77536.0,22447.0,18605.0,41456.0,32105.0,5665.0,13697.0,45806.0,77898.0,21847.0,18803.0,43812.0,32264.0,6122.0,27367.0,92498.0,155434.0,44294.0,37408.0,85268.0,64369.0,11787.0,6.63,95.34,101.97,8.16,39.71,3.16,ND,ND,ND,ND,ND,ND,77.64,65.14,71.54,169.65,5.55,2017-10-28
352,1977.0,Campeche,4.0,11544.0,ND,ND,2931.0,15.56,ND,ND,61.7,67.76,64.5,189128.0,6.94,ND,ND,ND,ND,186375.0,14475.0,375503.0,14294.0,49298.0,81577.0,23754.0,19380.0,43326.0,33646.0,5889.0,14324.0,48259.0,81851.0,23055.0,19613.0,45794.0,33845.0,6367.0,28618.0,97557.0,163428.0,46809.0,38993.0,89120.0,67491.0,12256.0,6.57,94.59,101.15,7.81,38.55,3.07,ND,ND,ND,ND,ND,ND,75.98,63.64,69.96,165.41,5.33,2021-12-29
353,1978.0,Campeche,4.0,11821.0,ND,ND,2882.0,15.76,ND,ND,62.52,68.89,65.46,197574.0,6.94,ND,ND,ND,ND,194750.0,14703.0,392324.0,14935.0,52011.0,85807.0,25104.0,20105.0,45312.0,35217.0,6123.0,14968.0,50804.0,85976.0,24298.0,20372.0,47895.0,35463.0,6616.0,29903.0,102815.0,171783.0,49402.0,40477.0,93207.0,70680.0,12739.0,6.5,93.64,100.14,7.35,37.48,3.01,ND,ND,ND,ND,ND,ND,73.82,61.75,67.93,161.23,5.12,2017-09-07
354,1979.0,Campeche,4.0,12047.0,ND,ND,2888.0,16.0,ND,ND,62.85,69.66,65.97,206166.0,6.94,ND,ND,ND,ND,203293.0,14935.0,409459.0,15601.0,54823.0,90220.0,26484.0,20763.0,47412.0,36795.0,6353.0,15634.0,53422.0,90251.0,25560.0,21062.0,50105.0,37089.0,6874.0,31235.0,108245.0,180471.0,52044.0,41825.0,97517.0,73884.0,13227.0,6.43,92.57,99.0,7.05,36.47,2.94,ND,ND,ND,ND,ND,ND,71.25,59.53,65.53,156.41,4.92,2019-02-26
355,1980.0,Campeche,4.0,12198.0,ND,ND,2927.0,16.0,ND,ND,63.02,70.08,66.25,214319.0,6.98,ND,ND,ND,ND,211366.0,15125.0,425685.0,16249.0,57565.0,94536.0,27812.0,21263.0,49515.0,38201.0,6594.0,16294.0,56014.0,94444.0,26790.0,21597.0,52275.0,38562.0,7136.0,32543.0,113579.0,188980.0,54602.0,42860.0,101790.0,76763.0,13730.0,6.38,91.28,97.65,6.88,35.53,2.87,ND,ND,ND,ND,ND,ND,68.33,57.03,62.82,150.88,4.74,2020-02-05
356,1981.0,Campeche,4.0,12339.0,ND,ND,2876.0,16.0,ND,ND,63.74,70.98,67.05,221427.0,7.1,ND,ND,ND,ND,218269.0,15215.0,439696.0,16827.0,60035.0,98429.0,28992.0,21535.0,51494.0,39249.0,6863.0,16910.0,58455.0,98310.0,27943.0,21909.0,54264.0,39712.0,7418.0,33737.0,118490.0,196739.0,56935.0,43444.0,105758.0,78961.0,14281.0,6.37,89.71,96.08,6.54,34.6,2.81,ND,ND,ND,ND,ND,ND,65.11,54.27,59.83,144.61,4.56,2020-03-29
357,1982.0,Campeche,4.0,12425.0,ND,ND,2831.0,16.08,ND,ND,64.34,71.99,67.81,228032.0,7.26,ND,ND,ND,ND,224582.0,15256.0,452614.0,17368.0,62348.0,102152.0,30080.0,21705.0,53477.0,40038.0,7158.0,17504.0,60809.0,102064.0,29045.0,22124.0,56231.0,40624.0,7724.0,34872.0,123157.0,204216.0,59125.0,43829.0,109708.0,80662.0,14882.0,6.39,87.98,94.37,6.25,33.71,2.75,ND,ND,ND,ND,ND,ND,61.74,51.39,56.69,138.25,4.39,2021-01-01
358,1983.0,Campeche,4.0,12709.0,ND,ND,2813.0,16.53,ND,ND,65.07,72.08,68.29,234671.0,7.45,ND,ND,ND,ND,230929.0,15522.0,465600.0,17904.0,64676.0,105993.0,31151.0,21884.0,55581.0,40701.0,7465.0,18099.0,63174.0,105923.0,30127.0,22349.0,58310.0,41406.0,8052.0,36003.0,127850.0,211916.0,61278.0,44233.0,113891.0,82107.0,15517.0,6.42,86.18,92.6,6.04,33.34,2.73,ND,ND,ND,ND,ND,ND,58.01,48.23,53.24,134.94,4.29,2022-03-26
359,1984.0,Campeche,4.0,13003.0,ND,ND,2796.0,16.99,ND,ND,65.53,72.65,68.79,241337.0,7.65,ND,ND,ND,ND,237271.0,15799.0,478608.0,18421.0,67007.0,109942.0,32204.0,22070.0,57807.0,41244.0,7780.0,18683.0,65554.0,109894.0,31198.0,22586.0,60498.0,42073.0,8401.0,37104.0,132561.0,219836.0,63402.0,44656.0,118305.0,83317.0,16181.0,6.45,84.33,90.78,5.84,33.01,2.72,ND,ND,ND,ND,ND,ND,54.59,45.32,50.07,132.01,4.19,2017-07-11
360,1985.0,Campeche,4.0,13255.0,ND,ND,2835.0,17.0,ND,ND,65.63,72.73,68.89,248018.0,7.86,ND,ND,ND,ND,243594.0,16090.0,491612.0,18905.0,69337.0,113983.0,33249.0,22261.0,60138.0,41690.0,8104.0,19239.0,67938.0,113969.0,32266.0,22833.0,62801.0,42648.0,8763.0,38144.0,137275.0,227952.0,65515.0,45094.0,122939.0,84338.0,16867.0,6.48,82.44,88.93,5.77,32.73,2.7,ND,ND,ND,ND,ND,ND,51.64,42.78,47.32,129.85,4.11,2022-06-25
361,1986.0,Campeche,4.0,13609.0,ND,ND,2785.0,17.0,ND,ND,66.38,73.49,69.64,254717.0,8.1,ND,ND,ND,ND,249908.0,16394.0,504625.0,19337.0,71650.0,118112.0,34293.0,22453.0,62591.0,42062.0,8447.0,19747.0,70330.0,118152.0,33346.0,23080.0,65217.0,43154.0,9148.0,39084.0,141980.0,236264.0,67639.0,45533.0,127808.0,85216.0,17595.0,6.52,80.52,87.05,5.52,32.49,2.7,ND,ND,ND,ND,ND,ND,49.09,40.61,44.95,128.55,4.02,2020-05-21
362,1987.0,Campeche,4.0,13915.0,ND,ND,2804.0,17.5,ND,ND,66.78,73.72,69.97,261452.0,8.36,ND,ND,ND,ND,256227.0,16719.0,517679.0,19706.0,73934.0,122315.0,35345.0,22639.0,65169.0,42391.0,8817.0,20193.0,72719.0,122433.0,34448.0,23325.0,67750.0,43624.0,9560.0,39899.0,146653.0,244748.0,69793.0,45964.0,132919.0,86015.0,18377.0,6.57,78.6,85.17,5.42,32.3,2.69,ND,ND,ND,ND,ND,ND,46.8,38.66,42.83,128.19,3.95,2019-02-05
363,1988.0,Campeche,4.0,14007.0,ND,ND,2864.0,18.0,ND,ND,66.81,73.71,69.98,268196.0,8.64,ND,ND,ND,ND,262510.0,16871.0,530706.0,19995.0,76164.0,126561.0,36404.0,22815.0,67864.0,42704.0,9195.0,20562.0,75081.0,126780.0,35569.0,23562.0,70398.0,44086.0,9988.0,40557.0,151245.0,253341.0,71973.0,46377.0,138262.0,86790.0,19183.0,6.63,76.69,83.31,5.4,31.79,2.64,ND,ND,ND,ND,ND,ND,43.43,35.69,39.65,127.3,3.84,2020-08-21
364,1989.0,Campeche,4.0,14120.0,ND,ND,2896.0,18.0,ND,ND,67.26,73.85,70.3,274905.0,8.93,ND,ND,ND,ND,268764.0,17016.0,543669.0,20206.0,78314.0,130818.0,37462.0,22985.0,70680.0,43020.0,9592.0,20854.0,77384.0,131150.0,36701.0,23792.0,73143.0,44556.0,10429.0,41060.0,155698.0,261968.0,74163.0,46777.0,143823.0,87576.0,20021.0,6.68,74.83,81.51,5.33,31.3,2.6,ND,ND,ND,ND,ND,ND,45.33,37.3,41.41,126.62,3.74,2022-08-04
365,1990.0,Campeche,4.0,14341.0,ND,ND,2891.0,18.14,ND,ND,67.89,74.05,70.75,282353.0,9.23,ND,ND,ND,ND,276122.0,17232.0,558475.0,20518.0,80779.0,135634.0,38710.0,23229.0,73769.0,43619.0,10055.0,21188.0,79872.0,135930.0,37960.0,24070.0,76153.0,45215.0,10898.0,41706.0,160651.0,271564.0,76670.0,47299.0,149922.0,88834.0,20953.0,6.75,73.07,79.82,5.18,30.86,2.57,ND,ND,ND,ND,ND,ND,42.09,34.45,38.37,126.13,3.65,2022-09-25
366,1991.0,Campeche,4.0,14391.0,ND,ND,2854.0,18.68,ND,ND,68.57,74.36,71.27,290585.0,9.54,ND,ND,ND,ND,284669.0,17245.0,575254.0,20963.0,83559.0,141030.0,40145.0,23548.0,77163.0,44493.0,10601.0,21599.0,82570.0,141152.0,39362.0,24384.0,79437.0,46042.0,11398.0,42562.0,166129.0,282182.0,79507.0,47932.0,156600.0,90535.0,21999.0,6.82,71.43,78.25,4.96,29.98,2.5,ND,ND,ND,ND,ND,ND,34.56,28.08,31.4,121.56,3.52,2019-10-04
367,1992.0,Campeche,4.0,14335.0,ND,ND,2903.0,19.0,ND,ND,68.88,74.51,71.51,298847.0,9.87,ND,ND,ND,ND,293272.0,17238.0,592119.0,21416.0,86249.0,146433.0,41552.0,23859.0,80675.0,45365.0,11173.0,22013.0,85185.0,146385.0,40747.0,24677.0,82835.0,46853.0,11924.0,43429.0,171434.0,292818.0,82299.0,48536.0,163510.0,92218.0,23097.0,6.9,69.89,76.78,4.9,29.11,2.42,ND,ND,ND,ND,ND,ND,32.31,26.16,29.31,117.27,3.4,2017-08-30
368,1993.0,Campeche,4.0,14197.0,ND,ND,2995.0,19.0,ND,ND,69.1,74.44,71.61,307113.0,10.21,ND,ND,ND,ND,301876.0,17192.0,608989.0,21876.0,88838.0,151813.0,42892.0,24166.0,84290.0,46227.0,11769.0,22437.0,87640.0,151551.0,42020.0,24977.0,86349.0,47659.0,12481.0,44313.0,176478.0,303364.0,84912.0,49143.0,170639.0,93886.0,24250.0,6.99,68.46,75.44,4.92,28.23,2.33,ND,ND,ND,ND,ND,ND,32.06,26.02,29.11,113.13,3.28,2018-11-03
369,1994.0,Campeche,4.0,14038.0,ND,ND,3074.0,19.35,ND,ND,69.19,74.71,71.78,315381.0,10.56,ND,ND,ND,ND,310506.0,17112.0,625887.0,22345.0,91354.0,157195.0,44147.0,24480.0,88013.0,47081.0,12393.0,22873.0,89988.0,156675.0,43172.0,25297.0,89956.0,48461.0,13070.0,45218.0,181342.0,313870.0,87319.0,49777.0,177969.0,95542.0,25463.0,7.09,67.1,74.19,4.91,27.34,2.24,ND,ND,ND,ND,ND,ND,31.86,25.91,28.96,108.98,3.16,2018-03-22
370,1995.0,Campeche,4.0,13763.0,ND,ND,3184.0,19.91,ND,ND,69.06,74.68,71.7,323619.0,10.92,ND,ND,ND,ND,319144.0,16947.0,642763.0,22822.0,93795.0,162563.0,45296.0,24805.0,91822.0,47940.0,13036.0,23319.0,92239.0,161750.0,44191.0,25637.0,93641.0,49263.0,13680.0,46141.0,186034.0,324313.0,89487.0,50442.0,185463.0,97203.0,26716.0,7.19,65.83,73.02,4.95,26.37,2.14,ND,ND,ND,ND,ND,ND,31.7,25.81,28.82,104.66,3.04,2019-09-27
371,1996.0,Campeche,4.0,13693.0,ND,ND,3213.0,20.0,ND,ND,69.37,75.11,72.07,330647.0,11.27,ND,ND,ND,ND,326523.0,16906.0,657170.0,23147.0,95883.0,167429.0,46207.0,25020.0,95435.0,48494.0,13605.0,23643.0,94157.0,166391.0,44978.0,25852.0,97173.0,49781.0,14209.0,46790.0,190040.0,333820.0,91185.0,50872.0,192608.0,98275.0,27814.0,7.27,64.47,71.74,4.89,25.73,2.08,ND,ND,ND,ND,ND,ND,31.51,25.68,28.67,102.41,2.95,2022-11-22
372,1997.0,Campeche,4.0,13626.0,ND,ND,3211.0,20.13,ND,ND,69.65,75.64,72.45,336428.0,11.61,ND,ND,ND,ND,332623.0,16837.0,669051.0,23319.0,97644.0,171803.0,46915.0,25095.0,98836.0,48749.0,14101.0,23845.0,95733.0,170563.0,45546.0,25906.0,100535.0,50032.0,14651.0,47164.0,193377.0,342366.0,92461.0,51001.0,199371.0,98781.0,28752.0,7.32,63.03,70.35,4.8,25.17,2.04,ND,ND,ND,ND,ND,ND,31.29,25.54,28.49,100.1,2.87,2020-02-08
373,1998.0,Campeche,4.0,13548.0,ND,ND,3223.0,20.79,ND,ND,69.96,75.99,72.78,342099.0,11.98,ND,ND,ND,ND,338670.0,16771.0,680769.0,23487.0,99364.0,176180.0,47585.0,25104.0,102326.0,49001.0,14617.0,24041.0,97185.0,174648.0,46037.0,25893.0,103985.0,50293.0,15105.0,47528.0,196549.0,350828.0,93622.0,50997.0,206311.0,99294.0,29722.0,7.38,61.61,68.98,4.73,24.64,1.99,ND,ND,ND,ND,ND,ND,29.84,24.33,27.15,97.32,2.79,2017-12-12
374,1999.0,Campeche,4.0,13502.0,ND,ND,3199.0,21.0,ND,ND,70.57,76.4,73.32,347636.0,12.36,ND,ND,ND,ND,344669.0,16701.0,692305.0,23656.0,101007.0,180527.0,48218.0,25040.0,105919.0,49222.0,15165.0,24241.0,98493.0,178606.0,46470.0,25814.0,107497.0,50544.0,15577.0,47897.0,199500.0,359133.0,94688.0,50854.0,213416.0,99766.0,30742.0,7.45,60.22,67.66,4.62,24.12,1.95,ND,ND,ND,ND,ND,ND,28.34,23.07,25.77,94.26,2.72,2022-10-11
375,2000.0,Campeche,4.0,13560.0,ND,ND,3146.0,21.11,ND,ND,71.41,76.93,74.02,353252.0,12.82,ND,ND,ND,ND,351108.0,16706.0,704360.0,23831.0,102601.0,185181.0,48804.0,24895.0,110048.0,49387.0,15775.0,24436.0,99587.0,182495.0,46798.0,25677.0,111311.0,50759.0,16127.0,48267.0,202188.0,367676.0,95602.0,50572.0,221359.0,100146.0,31902.0,7.53,58.77,66.3,4.47,23.72,1.93,ND,ND,ND,ND,ND,ND,26.77,21.76,24.33,91.73,2.67,2017-03-22
376,2001.0,Campeche,4.0,13586.0,ND,ND,3188.0,21.91,ND,ND,71.89,77.05,74.34,359339.0,13.33,ND,ND,ND,ND,358241.0,16774.0,717580.0,24020.0,104321.0,190354.0,49475.0,24707.0,114765.0,49491.0,16447.0,24628.0,100818.0,186694.0,47288.0,25504.0,115476.0,50917.0,16746.0,48648.0,205139.0,377048.0,96763.0,50211.0,230241.0,100408.0,33193.0,7.62,57.19,64.82,4.44,23.38,1.89,ND,ND,ND,ND,ND,ND,25.13,20.38,22.81,89.79,2.62,2017-02-10
377,2002.0,Campeche,4.0,13538.0,ND,ND,3290.0,22.0,ND,ND,72.04,76.99,74.4,365788.0,13.86,ND,ND,ND,ND,365657.0,16828.0,731445.0,24224.0,106145.0,195689.0,50281.0,24554.0,119634.0,49548.0,17135.0,24833.0,102307.0,191169.0,48061.0,25338.0,119747.0,51014.0,17385.0,49057.0,208452.0,386858.0,98342.0,49892.0,239381.0,100562.0,34520.0,7.71,55.62,63.33,4.5,23.01,1.85,ND,ND,ND,ND,ND,ND,23.55,19.03,21.34,88.04,2.57,2019-12-30
378,2003.0,Campeche,4.0,13522.0,ND,ND,3391.0,22.39,ND,ND,72.22,76.89,74.46,372302.0,14.4,ND,ND,ND,ND,373227.0,16913.0,745529.0,24445.0,107987.0,201069.0,51160.0,24447.0,124630.0,49525.0,17842.0,25055.0,103797.0,195636.0,48925.0,25196.0,124097.0,51019.0,18027.0,49500.0,211784.0,396705.0,100085.0,49643.0,248727.0,100544.0,35869.0,7.79,54.1,61.89,4.55,22.69,1.81,ND,ND,ND,ND,ND,ND,22.67,18.27,20.53,86.38,2.52,2021-07-26
379,2004.0,Campeche,4.0,13599.0,ND,ND,3408.0,23.0,ND,ND,72.76,77.18,74.89,378812.0,14.96,ND,ND,ND,ND,380818.0,17007.0,759630.0,24667.0,109752.0,206380.0,52033.0,24364.0,129732.0,49433.0,18574.0,25290.0,105181.0,199979.0,49763.0,25089.0,128529.0,50936.0,18697.0,49957.0,214933.0,406359.0,101796.0,49453.0,258261.0,100369.0,37271.0,7.88,52.66,60.53,4.49,22.39,1.79,ND,ND,ND,ND,ND,ND,21.99,17.69,19.89,84.49,2.49,2019-04-13
380,2005.0,Campeche,4.0,13510.0,ND,ND,3559.0,23.0,ND,ND,72.75,76.99,74.8,385415.0,15.54,ND,ND,ND,ND,388566.0,17069.0,773981.0,24878.0,111531.0,211704.0,52928.0,24301.0,134939.0,49319.0,19338.0,25513.0,106561.0,204275.0,50581.0,25029.0,133023.0,50805.0,19396.0,50391.0,218092.0,415979.0,103509.0,49330.0,267962.0,100124.0,38734.0,7.97,51.27,59.24,4.6,22.05,1.75,ND,ND,ND,ND,ND,ND,21.44,17.21,19.37,82.21,2.44,2020-05-06
381,2006.0,Campeche,4.0,13489.0,ND,ND,3569.0,23.65,ND,ND,73.13,77.43,75.21,391285.0,16.18,ND,ND,ND,ND,395309.0,17058.0,786594.0,24938.0,112940.0,216333.0,53641.0,24221.0,139820.0,49049.0,20128.0,25596.0,107806.0,208061.0,51320.0,25005.0,137135.0,50544.0,20110.0,50534.0,220746.0,424394.0,104961.0,49226.0,276955.0,99593.0,40238.0,8.08,49.96,58.05,4.54,21.69,1.71,ND,ND,ND,ND,ND,ND,20.94,16.77,18.91,79.88,2.4,2021-03-14
382,2007.0,Campeche,4.0,13302.0,ND,ND,3708.0,24.0,ND,ND,73.01,77.31,75.1,396533.0,16.88,ND,ND,ND,ND,401014.0,17010.0,797547.0,24833.0,113966.0,220227.0,54149.0,24132.0,144355.0,48647.0,20934.0,25520.0,109010.0,211425.0,52026.0,25009.0,140865.0,50197.0,20844.0,50353.0,222976.0,431652.0,106175.0,49141.0,285220.0,98844.0,41778.0,8.22,48.72,56.94,4.65,21.33,1.67,ND,ND,ND,ND,ND,ND,20.48,16.38,18.48,78.02,2.36,2021-09-08
383,2008.0,Campeche,4.0,13110.0,ND,ND,3875.0,24.08,ND,ND,72.58,77.45,74.94,402112.0,17.58,ND,ND,ND,ND,406929.0,16985.0,809041.0,24679.0,115121.0,224183.0,54723.0,24053.0,148910.0,48304.0,21767.0,25392.0,110574.0,215055.0,52909.0,25006.0,144569.0,49922.0,21571.0,50071.0,225695.0,439238.0,107632.0,49059.0,293479.0,98226.0,43338.0,8.35,47.48,55.83,4.79,20.99,1.62,ND,ND,ND,ND,ND,ND,20.0,16.01,18.06,76.55,2.33,2018-09-20
384,2009.0,Campeche,4.0,12876.0,ND,ND,4082.0,24.82,ND,ND,72.15,77.33,74.66,407886.0,18.3,ND,ND,ND,ND,412914.0,16958.0,820800.0,24481.0,116311.0,228098.0,55323.0,23955.0,153467.0,48013.0,22627.0,25224.0,112351.0,218807.0,53919.0,24969.0,148242.0,49715.0,22306.0,49705.0,228662.0,446905.0,109242.0,48924.0,301709.0,97728.0,44933.0,8.47,46.29,54.76,4.97,20.66,1.57,ND,ND,ND,ND,ND,ND,19.56,15.68,17.66,75.14,2.29,2022-03-14
385,2010.0,Campeche,4.0,12688.0,ND,ND,4267.0,25.0,ND,ND,71.77,77.44,74.5,414309.0,18.95,ND,ND,ND,ND,419633.0,16955.0,833942.0,24363.0,117611.0,232046.0,55978.0,23986.0,157990.0,48032.0,23496.0,25107.0,114302.0,222791.0,55004.0,24989.0,151964.0,49732.0,23038.0,49470.0,231913.0,454837.0,110982.0,48975.0,309954.0,97764.0,46534.0,8.59,45.31,53.9,5.12,20.33,1.52,ND,ND,ND,ND,ND,ND,19.16,15.38,17.31,73.74,2.26,2020-11-05
386,2011.0,Campeche,4.0,12710.0,ND,ND,4401.0,25.0,ND,ND,71.7,77.64,74.55,421944.0,19.51,ND,ND,ND,ND,427997.0,17111.0,849941.0,24389.0,119186.0,236421.0,56751.0,24273.0,162757.0,48451.0,24436.0,25057.0,116500.0,227342.0,56165.0,25158.0,155981.0,49997.0,23803.0,49446.0,235686.0,463763.0,112916.0,49431.0,318738.0,98448.0,48239.0,8.7,44.6,53.3,5.18,20.13,1.5,ND,ND,ND,ND,ND,ND,18.76,15.07,16.96,76.2,2.25,2018-03-04
387,2012.0,Campeche,4.0,12698.0,ND,ND,4581.0,25.49,ND,ND,71.5,77.7,74.48,429944.0,20.07,ND,ND,ND,ND,437120.0,17279.0,867064.0,24475.0,120824.0,241013.0,57527.0,24655.0,167783.0,48957.0,25464.0,25019.0,118619.0,231986.0,57220.0,25398.0,160191.0,50291.0,24620.0,49494.0,239443.0,472999.0,114747.0,50053.0,327974.0,99248.0,50084.0,8.83,43.98,52.81,5.28,19.93,1.46,ND,ND,ND,ND,ND,ND,18.31,14.74,16.57,78.48,2.23,2022-10-06
388,2013.0,Campeche,4.0,12701.0,ND,ND,4731.0,26.0,ND,ND,71.61,77.66,74.53,437776.0,20.66,ND,ND,ND,ND,446135.0,17432.0,883911.0,24582.0,122337.0,245447.0,58202.0,25027.0,172816.0,49425.0,26532.0,25004.0,120547.0,236436.0,58099.0,25637.0,164406.0,50537.0,25488.0,49586.0,242884.0,481883.0,116301.0,50664.0,337222.0,99962.0,52020.0,8.97,43.4,52.37,5.35,19.72,1.44,ND,ND,ND,ND,ND,ND,17.66,14.24,15.99,80.68,2.22,2018-06-12
389,2014.0,Campeche,4.0,12641.0,ND,ND,4942.0,26.0,ND,ND,71.57,77.52,74.44,445522.0,21.27,ND,ND,ND,ND,455067.0,17583.0,900589.0,24690.0,123732.0,249746.0,58755.0,25392.0,177868.0,49865.0,27648.0,25020.0,122321.0,240789.0,58804.0,25876.0,168687.0,50744.0,26376.0,49710.0,246053.0,490535.0,117559.0,51268.0,346555.0,100609.0,54024.0,9.12,42.85,51.97,5.49,19.52,1.4,ND,ND,ND,ND,ND,ND,17.03,13.77,15.44,82.62,2.22,2022-09-10
390,2015.0,Campeche,4.0,12490.0,ND,ND,5201.0,26.13,ND,ND,71.36,77.25,74.21,453046.0,21.89,ND,ND,ND,ND,463786.0,17691.0,916832.0,24797.0,125006.0,253862.0,59180.0,25757.0,182880.0,50269.0,28779.0,25056.0,123912.0,244972.0,59318.0,26116.0,172973.0,50902.0,27272.0,49853.0,248918.0,498834.0,118498.0,51873.0,355853.0,101171.0,56051.0,9.27,42.33,51.6,5.67,19.3,1.36,ND,ND,ND,ND,ND,ND,16.67,13.5,15.12,83.86,2.2,2021-06-11
391,2016.0,Campeche,4.0,12595.0,4538,17133,5304.0,26.72,5707,490,71.52,77.39,74.36,461056.0,22.52,10149,586,4442,96,472380.0,17899.0,933436.0,24909.0,126130.0,258055.0,59461.0,26125.0,188128.0,50638.0,29939.0,25173.0,125394.0,249378.0,59659.0,26428.0,177645.0,51193.0,28161.0,50082.0,251524.0,507433.0,119120.0,52553.0,365773.0,101831.0,58100.0,9.41,41.8,51.21,5.68,19.18,1.35,0.49,1.84,0.611397032,1.087273257,0.475876225,0.01,16.21,13.14,14.71,83.61,2.2,2018-06-13
392,2017.0,Campeche,4.0,12408.0,4488,16896,5437.0,27.0,5728,503,71.55,77.46,74.41,469566.0,23.17,10137,582,4409,79,480892.0,17845.0,950458.0,25036.0,127061.0,262314.0,59616.0,26497.0,193633.0,51025.0,31178.0,25363.0,126721.0,253970.0,59838.0,26813.0,182738.0,51676.0,29084.0,50399.0,253782.0,516284.0,119454.0,53310.0,376371.0,102701.0,60262.0,9.56,41.27,50.83,5.72,18.78,1.31,0.47,1.78,0.602656824,1.066538448,0.463881623,0.01,16.1,13.02,14.59,81.97,2.17,2020-09-05
