renglon,año,entidad,cve_geo,cre_nat,cre_soc,cre_tot,def,edad_med,emi_est,emi_int,evh,evm,ev,hom_mit_año,ind_env,inm_est,inm_int,mig_net_est,mig_net_int,muj_mit_año,nac,pob_mit_año,muj_12_14,muj_15_29,muj_15_49,muj_18_24,muj_3_5,muj_30_64,muj_6_11,muj_65_mas,hom_12_14,hom_15_29,hom_15_49,hom_18_24,hom_3_5,hom_30_64,hom_6_11,hom_65_mas,pob_12_14,pob_15_29,pob_15_49,pob_18_24,pob_3_5,pob_30_64,pob_6_11,pob_65_mas,raz_dep_adu,raz_dep_inf,raz_dep,t_bru_mor,t_bru_nat,t_cre_nat,t_cre_soc,t_cre_tot,t_emi_est,t_inm_est,t_mig_net_est,t_mig_net_int,tmih,tmim,tmi,tef_ado,tgf,fecha_reg
11,1960.0,República Mexicana,0.0,1278971.0,-63913,1215058,468510.0,16.0,ND,72234,54.83,57.62,56.23,18390799.0,6.99,ND,8321,ND,-63913,18395744.0,1747481.0,36786543.0,1246895.0,4538393.0,7918953.0,2162075.0,1877254.0,4850442.0,3027681.0,633626.0,1271866.0,4559131.0,7900812.0,2166007.0,1925052.0,4708029.0,3097966.0,550245.0,2518761.0,9097524.0,15819765.0,4328082.0,3802306.0,9558471.0,6125647.0,1183871.0,6.35,90.84,97.18,12.74,47.5,3.48,-0.17,3.3,ND,ND,0,-0.17,98.97,84.65,91.98,156.0,6.99,2019-08-25
12,1961.0,República Mexicana,0.0,1332818.0,-69221,1263597,462737.0,16.0,ND,75410,55.91,58.72,57.32,19014199.0,7.01,ND,6189,ND,-69221,19011672.0,1795555.0,38025871.0,1294554.0,4669722.0,8139386.0,2225042.0,1955406.0,4976565.0,3158703.0,660215.0,1320501.0,4688907.0,8121402.0,2228516.0,2005718.0,4835001.0,3234118.0,574213.0,2615055.0,9358629.0,16260788.0,4453558.0,3961124.0,9811566.0,6392821.0,1234428.0,6.44,91.92,98.36,12.17,47.22,3.51,-0.18,3.32,ND,ND,0,-0.18,96.74,82.59,89.84,155.0,6.99,2020-03-27
13,1962.0,República Mexicana,0.0,1371661.0,-74234,1297427,469709.0,16.0,ND,79746,56.24,58.96,57.6,19658429.0,7.04,ND,5512,ND,-74234,19647943.0,1841370.0,39306372.0,1343598.0,4809107.0,8372194.0,2291943.0,2033922.0,5104645.0,3298832.0,689304.0,1370683.0,4827202.0,8354446.0,2295126.0,2086476.0,4963951.0,3379747.0,600472.0,2714281.0,9636309.0,16726640.0,4587069.0,4120398.0,10068596.0,6678579.0,1289776.0,6.55,92.93,99.48,11.95,46.85,3.49,-0.19,3.3,ND,ND,0,-0.19,94.49,80.52,87.67,153.5,6.97,2018-01-04
14,1963.0,República Mexicana,0.0,1408446.0,-79933,1328513,477731.0,16.0,ND,86216,56.47,59.11,57.79,20319147.0,7.09,ND,6283,ND,-79933,20300199.0,1886177.0,40619346.0,1395241.0,4957159.0,8617169.0,2362700.0,2111327.0,5232952.0,3445908.0,719598.0,1424089.0,4974338.0,8599345.0,2365563.0,2165902.0,5093136.0,3532127.0,628022.0,2819330.0,9931497.0,17216514.0,4728263.0,4277229.0,10326088.0,6978035.0,1347620.0,6.65,93.86,100.51,11.76,46.44,3.47,-0.2,3.27,ND,ND,0,-0.2,92.31,78.52,85.58,151.53,6.94,2018-11-28
15,1964.0,República Mexicana,0.0,1459575.0,-86025,1373550,471747.0,15.84,ND,94497,57.31,60.2,58.76,20998292.0,7.15,ND,8472,ND,-86025,20972085.0,1931322.0,41970377.0,1452680.0,5115084.0,8876206.0,2437401.0,2186821.0,5363338.0,3595896.0,752304.0,1484009.0,5130968.0,8857278.0,2439643.0,2243224.0,5223895.0,3686901.0,657600.0,2936689.0,10246052.0,17733484.0,4877044.0,4430045.0,10587233.0,7282797.0,1409904.0,6.77,94.69,101.46,11.24,46.02,3.48,-0.2,3.27,ND,ND,0,-0.2,90.29,76.67,83.65,149.22,6.9,2021-02-14
16,1965.0,República Mexicana,0.0,1496676.0,-92514,1404162,480521.0,15.66,ND,104162,57.36,60.43,58.9,21695067.0,7.22,ND,11648,ND,-92514,21664164.0,1977197.0,43359231.0,1517530.0,5281494.0,9147858.0,2516354.0,2259969.0,5496589.0,3747798.0,787341.0,1551026.0,5295496.0,9126457.0,2517406.0,2318134.0,5356577.0,3843543.0,688862.0,3068556.0,10576990.0,18274315.0,5033760.0,4578103.0,10853166.0,7591341.0,1476203.0,6.89,95.44,102.33,11.08,45.6,3.45,-0.21,3.24,ND,ND,0,-0.21,88.56,75.06,81.97,146.71,6.87,2018-09-18
17,1966.0,República Mexicana,0.0,1536237.0,-100715,1435522,488239.0,15.51,ND,114814,57.42,60.79,59.1,22405763.0,7.29,ND,14099,ND,-100715,22373315.0,2024476.0,44779078.0,1587731.0,5457718.0,9432705.0,2600115.0,2330814.0,5632310.0,3900182.0,823233.0,1622959.0,5469318.0,9407424.0,2599181.0,2390791.0,5490573.0,4000167.0,720400.0,3210690.0,10927036.0,18840129.0,5199296.0,4721605.0,11122883.0,7900349.0,1543633.0,7.0,96.08,103.08,10.9,45.21,3.43,-0.22,3.21,ND,ND,0,-0.22,87.02,73.62,80.48,143.87,6.83,2021-05-06
18,1967.0,República Mexicana,0.0,1586205.0,-110937,1475268,486967.0,15.39,ND,126326,57.94,61.62,59.77,23132262.0,7.36,ND,15389,ND,-110937,23102207.0,2073172.0,46234469.0,1659353.0,5647441.0,9734706.0,2690266.0,2400197.0,5772444.0,4051854.0,860565.0,1696400.0,5655900.0,9703934.0,2686308.0,2462016.0,5627686.0,4154986.0,752493.0,3355753.0,11303341.0,19438640.0,5376574.0,4862213.0,11400130.0,8206840.0,1613058.0,7.1,96.54,103.64,10.53,44.84,3.43,-0.24,3.19,ND,ND,0,-0.24,85.45,72.16,78.97,140.71,6.79,2017-03-26
19,1968.0,República Mexicana,0.0,1619485.0,-123283,1496202,503181.0,15.3,ND,138810,57.63,61.41,59.51,23872176.0,7.43,ND,15527,ND,-123283,23848022.0,2122666.0,47720198.0,1732252.0,5850096.0,10052570.0,2785033.0,2468933.0,5916685.0,4201157.0,897810.0,1771481.0,5853923.0,10014012.0,2777270.0,2532555.0,5767746.0,4306894.0,783967.0,3503733.0,11704019.0,20066582.0,5562303.0,5001488.0,11684431.0,8508051.0,1681777.0,7.19,96.84,104.03,10.54,44.48,3.39,-0.26,3.14,ND,ND,0,-0.26,83.71,70.56,77.29,137.75,6.74,2020-11-17
20,1969.0,República Mexicana,0.0,1673614.0,-137503,1536111,500545.0,15.24,ND,152017,58.07,62.23,60.14,24625234.0,7.48,ND,14514,ND,-137503,24611128.0,2174159.0,49236362.0,1806498.0,6065002.0,10385549.0,2885060.0,2538196.0,6065635.0,4346872.0,934476.0,1847792.0,6062866.0,10336918.0,2873050.0,2603438.0,5911084.0,4454803.0,814211.0,3654290.0,12127868.0,20722467.0,5758110.0,5141634.0,11976719.0,8801675.0,1748687.0,7.25,97.01,104.26,10.17,44.16,3.4,-0.28,3.12,ND,ND,0,-0.28,81.67,68.71,75.35,135.71,6.69,2019-11-18
