RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
1,1950,República Mexicana,0,771494,-28552,742942,488080,17.11,ND,31089,45.91,48.76,47.34,13495744,6.72,ND,2537,ND,-28552,13530829,1259574,27026573,913612,836303,1354382,3463334,6198487,1664854,1146775,1265903,3803433,2123318,427476,932414,851158,1377311,3508333,6187357,1688145,1161992,1293140,3661134,2170111,365423,1846026,1687461,2731693,6971667,12385844,3352999,2308767,2559043,7464567,4293429,792899,5.49,81.72,87.21,18.06,46.61,2.85,-0.11,2.75,ND,ND,0,-0.11,138.63,120.64,129.85,149.49,6.57
2,1951,República Mexicana,0,797550,-33378,764172,511172,17,ND,37034,45.53,48.25,46.9,13871508,6.8,ND,3656,ND,-33378,13908627,1308722,27780135,938932,856386,1386622,3555366,6337070,1710721,1180485,1309697,3887150,2187898,445730,958064,870459,1407806,3598248,6324147,1732318,1194971,1337880,3742914,2236078,381433,1896996,1726845,2794428,7153614,12661217,3443039,2375456,2647577,7630064,4423976,827163,5.6,82.32,87.91,18.4,47.11,2.87,-0.12,2.75,ND,ND,0,-0.12,139.83,121.47,130.87,152.02,6.66
3,1952,República Mexicana,0,867222,-34371,832851,487182,17,ND,42009,47.52,50.43,48.98,14270386,6.85,ND,7638,ND,-34371,14308255,1354404,28578641,966306,877736,1420166,3649012,6480135,1755915,1213485,1356911,3974952,2255859,464211,985879,891419,1439997,3689848,6465975,1775435,1226857,1386094,3829259,2305617,397636,1952185,1769155,2860163,7338860,12946110,3531350,2440342,2743005,7804211,4561476,861847,5.69,83.03,88.72,17.05,47.39,3.03,-0.12,2.91,ND,ND,0,-0.12,130.46,113.15,122.02,153.13,6.72
4,1953,República Mexicana,0,882943,-35106,847837,518724,17,ND,45825,46.88,49.87,48.36,14690278,6.91,ND,10719,ND,-35106,14728717,1401667,29418995,995553,900884,1456017,3745691,6630085,1800920,1245787,1405168,4067546,2328445,483397,1015205,914132,1474419,3783388,6613993,1817545,1257258,1435335,3921535,2379180,415185,2010758,1815016,2930436,7529079,13244078,3618465,2503045,2840503,7989081,4707625,898582,5.79,83.79,89.58,17.63,47.64,3,-0.12,2.88,ND,ND,0,-0.12,136.19,117.92,127.28,154.67,6.78
5,1954,República Mexicana,0,974839,-36906,937933,462766,17,ND,49770,50.51,53.48,52,15137087,6.97,ND,12864,ND,-36906,15174790,1437605,30311877,1025374,926125,1494797,3846467,6788865,1846279,1277607,1456265,4166394,2407526,504012,1045153,939134,1512235,3881069,6771376,1859957,1286856,1488031,4020584,2459436,433984,2070527,1865259,3007032,7727536,13560241,3706236,2564463,2944296,8186978,4866962,937996,5.89,84.57,90.47,15.27,47.43,3.22,-0.12,3.09,ND,ND,0,-0.12,119.73,103.49,111.81,154.93,6.77
6,1955,República Mexicana,0,1021567,-37973,983594,463432,17,ND,53644,51.32,54.09,52.71,15619305,7,ND,15671,ND,-37973,15653331,1484999,31272636,1055858,953835,1537375,3953019,6958346,1892544,1309004,1514533,4271174,2494435,524647,1076253,967049,1554728,3985591,6940948,1903915,1316236,1548989,4125453,2548376,452293,2132111,1920884,3092103,7938610,13899294,3796459,2625240,3063522,8396627,5042811,976940,5.98,85.46,91.44,14.82,47.49,3.27,-0.12,3.15,ND,ND,0,-0.12,114.46,98.76,106.8,155.93,6.81
7,1956,República Mexicana,0,1075718,-41621,1034097,459817,16.95,ND,57693,52.21,55.14,53.68,16125998,7.01,ND,16072,ND,-41621,16155480,1535535,32281478,1088042,983276,1582880,4063933,7135618,1940343,1340739,1580562,4379508,2585586,545290,1109151,996712,1600279,4094232,7118230,1949556,1345989,1617503,4234175,2641752,470702,2197193,1979988,3183159,8158165,14253848,3889899,2686728,3198065,8613683,5227338,1015992,6.06,86.42,92.47,14.24,47.57,3.33,-0.13,3.2,ND,ND,0,-0.13,109.95,94.7,102.51,156.79,6.85
8,1957,República Mexicana,0,1123464,-46239,1077225,465254,16.68,ND,61753,52.72,55.48,54.11,16656412,7.01,ND,15514,ND,-46239,16680736,1588718,33337148,1123204,1013123,1630117,4177250,7319459,1990809,1373815,1652241,4491733,2682535,565930,1145152,1026790,1647593,4205015,7301825,1998116,1377313,1691380,4346917,2741567,489206,2268356,2039913,3277710,8382265,14621284,3988925,2751128,3343621,8838650,5424102,1055136,6.13,87.46,93.59,13.96,47.66,3.37,-0.14,3.23,ND,ND,0,-0.14,106.32,91.41,99.04,157.2,6.9
9,1958,República Mexicana,0,1179375,-51678,1127697,463627,16.39,ND,65685,53.56,56.39,54.98,17210686,6.99,ND,14007,ND,-51678,17228918,1643002,34439604,1161592,1043181,1678981,4293174,7510055,2044646,1408846,1725540,4607474,2788843,586952,1184495,1057147,1696623,4318378,7492180,2050439,1410963,1767175,4463441,2851501,508197,2346087,2100328,3375604,8611552,15002235,4095085,2819809,3492715,9070915,5640344,1095149,6.19,88.57,94.77,13.46,47.71,3.42,-0.15,3.27,ND,ND,0,-0.15,103.51,88.84,96.35,156.97,6.94
10,1959,República Mexicana,0,1233232,-57680,1175552,463238,16.1,ND,69155,54.35,57.19,55.77,17789665,6.99,ND,11475,ND,-57680,17801564,1696470,35591229,1202723,1074894,1730426,4413502,7709721,2102008,1446476,1800543,4727251,2904167,609519,1226647,1089293,1748407,4436290,7691626,2106686,1447572,1845208,4583998,2970426,528512,2429370,2164187,3478833,8849792,15401347,4208694,2894048,3645751,9311249,5874593,1138031,6.27,89.71,95.98,13.02,47.67,3.46,-0.16,3.3,ND,ND,0,-0.16,101.16,86.67,94.09,156.6,6.97
11,1960,República Mexicana,0,1278971,-63913,1215058,468510,16,ND,72234,54.83,57.62,56.23,18390799,6.99,ND,8321,ND,-63913,18395744,1747481,36786543,1246895,1109542,1784522,4538393,7918953,2162075,1487095,1877254,4850442,3027681,633626,1271866,1124542,1803078,4559131,7900812,2166007,1487471,1925052,4708029,3097966,550245,2518761,2234084,3587600,9097524,15819765,4328082,2974566,3802306,9558471,6125647,1183871,6.35,90.84,97.18,12.74,47.5,3.48,-0.17,3.3,ND,ND,0,-0.17,98.97,84.65,91.98,156,6.99
12,1961,República Mexicana,0,1332818,-69221,1263597,462737,16,ND,75410,55.91,58.72,57.32,19014199,7.01,ND,6189,ND,-69221,19011672,1795555,38025871,1294554,1147435,1841914,4669722,8139386,2225042,1530563,1955406,4976565,3158703,660215,1320501,1163159,1861256,4688907,8121402,2228516,1530419,2005718,4835001,3234118,574213,2615055,2310594,3703170,9358629,16260788,4453558,3060982,3961124,9811566,6392821,1234428,6.44,91.92,98.36,12.17,47.22,3.51,-0.18,3.32,ND,ND,0,-0.18,96.74,82.59,89.84,155,6.99
13,1962,República Mexicana,0,1371661,-74234,1297427,469709,16,ND,79746,56.24,58.96,57.6,19658429,7.04,ND,5512,ND,-74234,19647943,1841370,39306372,1343598,1188059,1904186,4809107,8372194,2291943,1575816,2033922,5104645,3298832,689304,1370683,1204527,1924405,4827202,8354446,2295126,1575248,2086476,4963951,3379747,600472,2714281,2392586,3828591,9636309,16726640,4587069,3151064,4120398,10068596,6678579,1289776,6.55,92.93,99.48,11.95,46.85,3.49,-0.19,3.3,ND,ND,0,-0.19,94.49,80.52,87.67,153.5,6.97
14,1963,República Mexicana,0,1408446,-79933,1328513,477731,16,ND,86216,56.47,59.11,57.79,20319147,7.09,ND,6283,ND,-79933,20300199,1886177,40619346,1395241,1231632,1971734,4957159,8617169,2362700,1622598,2111327,5232952,3445908,719598,1424089,1248708,1992671,4974338,8599345,2365563,1621600,2165902,5093136,3532127,628022,2819330,2480340,3964405,9931497,17216514,4728263,3244198,4277229,10326088,6978035,1347620,6.65,93.86,100.51,11.76,46.44,3.47,-0.2,3.27,ND,ND,0,-0.2,92.31,78.52,85.58,151.53,6.94
15,1964,República Mexicana,0,1459575,-86025,1373550,471747,15.84,ND,94497,57.31,60.2,58.76,20998292,7.15,ND,8472,ND,-86025,20972085,1931322,41970377,1452680,1278580,2044167,5115084,8876206,2437401,1671814,2186821,5363338,3595896,752304,1484009,1295936,2065320,5130968,8857278,2439643,1670259,2243224,5223895,3686901,657600,2936689,2574516,4109487,10246052,17733484,4877044,3342073,4430045,10587233,7282797,1409904,6.77,94.69,101.46,11.24,46.02,3.48,-0.2,3.27,ND,ND,0,-0.2,90.29,76.67,83.65,149.22,6.9
16,1965,República Mexicana,0,1496676,-92514,1404162,480521,15.66,ND,104162,57.36,60.43,58.9,21695067,7.22,ND,11648,ND,-92514,21664164,1977197,43359231,1517530,1326800,2119665,5281494,9147858,2516354,1723489,2259969,5496589,3747798,787341,1551026,1344323,2140643,5295496,9126457,2517406,1721086,2318134,5356577,3843543,688862,3068556,2671123,4260308,10576990,18274315,5033760,3444575,4578103,10853166,7591341,1476203,6.89,95.44,102.33,11.08,45.6,3.45,-0.21,3.24,ND,ND,0,-0.21,88.56,75.06,81.97,146.71,6.87
17,1966,República Mexicana,0,1536237,-100715,1435522,488239,15.51,ND,114814,57.42,60.79,59.1,22405763,7.29,ND,14099,ND,-100715,22373315,2024476,44779078,1587731,1377499,2199688,5457718,9432705,2600115,1777926,2330814,5632310,3900182,823233,1622959,1395554,2220523,5469318,9407424,2599181,1774212,2390791,5490573,4000167,720400,3210690,2773053,4420211,10927036,18840129,5199296,3552138,4721605,11122883,7900349,1543633,7,96.08,103.08,10.9,45.21,3.43,-0.22,3.21,ND,ND,0,-0.22,87.02,73.62,80.48,143.87,6.83
18,1967,República Mexicana,0,1586205,-110937,1475268,486967,15.39,ND,126326,57.94,61.62,59.77,23132262,7.36,ND,15389,ND,-110937,23102207,2073172,46234469,1659353,1433805,2287444,5647441,9734706,2690266,1836627,2400197,5772444,4051854,860565,1696400,1452895,2308222,5655900,9703934,2686308,1830981,2462016,5627686,4154986,752493,3355753,2886700,4595666,11303341,19438640,5376574,3667608,4862213,11400130,8206840,1613058,7.1,96.54,103.64,10.53,44.84,3.43,-0.24,3.19,ND,ND,0,-0.24,85.45,72.16,78.97,140.71,6.79
19,1968,República Mexicana,0,1619485,-123283,1496202,503181,15.3,ND,138810,57.63,61.41,59.51,23872176,7.43,ND,15527,ND,-123283,23848022,2122666,47720198,1732252,1497211,2382309,5850096,10052570,2785033,1899935,2468933,5916685,4201157,897810,1771481,1516859,2402487,5853923,10014012,2777270,1891642,2532555,5767746,4306894,783967,3503733,3014070,4784796,11704019,20066582,5562303,3791577,5001488,11684431,8508051,1681777,7.19,96.84,104.03,10.54,44.48,3.39,-0.26,3.14,ND,ND,0,-0.26,83.71,70.56,77.29,137.75,6.74
20,1969,República Mexicana,0,1673614,-137503,1536111,500545,15.24,ND,152017,58.07,62.23,60.14,24625234,7.48,ND,14514,ND,-137503,24611128,2174159,49236362,1806498,1565708,2483441,6065002,10385549,2885060,1967327,2538196,6065635,4346872,934476,1847792,1585336,2502911,6062866,10336918,2873050,1955475,2603438,5911084,4454803,814211,3654290,3151044,4986352,12127868,20722467,5758110,3922802,5141634,11976719,8801675,1748687,7.25,97.01,104.26,10.17,44.16,3.4,-0.28,3.12,ND,ND,0,-0.28,81.67,68.71,75.35,135.71,6.69
21,1970,República Mexicana,0,1697684,-152104,1545580,524901,15.23,ND,165368,57.61,62.14,59.85,25388301,7.55,ND,13264,ND,-152104,25390428,2222585,50778729,1881395,1635010,2591476,6290523,10732385,2993145,2036679,2608002,6221514,4487869,974029,1923876,1654546,2610281,6281294,10671561,2976274,2020539,2674564,6059752,4597553,845802,3805271,3289556,5201757,12571817,21403946,5969419,4057218,5282566,12281266,9085422,1819831,7.32,96.99,104.32,10.34,43.77,3.34,-0.3,3.04,ND,ND,0,-0.3,83.17,69.85,76.67,134.67,6.62
22,1971,República Mexicana,0,1768093,-162743,1605350,492387,15.26,ND,177959,59.43,63.81,61.6,26166899,7.62,ND,15216,ND,-162743,26187339,2260480,52354238,1956579,1705600,2705500,6528699,11095584,3110035,2110135,2679728,6384477,4626046,1014468,1999802,1725343,2723001,6511151,11020977,3087194,2089536,2747621,6215189,4737418,878097,3956381,3430943,5428501,13039850,22116561,6197229,4199671,5427349,12599666,9363464,1892565,7.38,96.81,104.19,9.4,43.18,3.38,-0.31,3.07,ND,ND,0,-0.31,77.24,64.75,71.15,133.93,6.51
23,1972,República Mexicana,0,1804312,-170298,1634014,494337,15.32,ND,191538,59.77,64.26,62,26967851,7.69,ND,21240,ND,-170298,27006102,2298649,53973953,2031408,1778225,2822882,6782737,11478688,3236238,2191581,2754417,6554462,4764001,1053930,2075066,1798137,2838599,6755888,11389231,3206939,2166477,2823785,6377853,4877250,910057,4106474,3576362,5661481,13538625,22867919,6443177,4358058,5578202,12932315,9641251,1963987,7.42,96.48,103.9,9.16,42.59,3.34,-0.32,3.03,ND,ND,0,-0.32,75.12,62.86,69.14,133.43,6.39
24,1973,República Mexicana,0,1833406,-175335,1658071,495686,15.42,ND,206500,60.1,64.73,62.39,27781487,7.76,ND,31165,ND,-175335,27838508,2329092,55619995,2104364,1852178,2942430,7050813,11879536,3370410,2280158,2829875,6731204,4902278,1093204,2148261,1871520,2956389,7013601,11774169,3334837,2249968,2900682,6547357,5017373,941920,4252625,3723698,5898819,14064414,23653705,6705247,4530126,5730557,13278561,9919651,2035124,7.44,95.97,103.42,8.91,41.88,3.3,-0.32,2.98,ND,ND,0,-0.32,73.23,61.17,67.35,132.64,6.25
25,1974,República Mexicana,0,1866253,-176626,1689627,484999,15.57,ND,221645,60.58,66.21,63.35,28606863,7.83,ND,45019,ND,-176626,28687002,2351252,57293865,2175192,1926725,3063688,7332069,12299808,3512474,2375511,2904323,6918332,5042930,1134394,2219222,1945027,3075434,7283333,12177019,3470586,2340179,2976835,6726253,5159565,973981,4394414,3871752,6139122,14615402,24476827,6983060,4715690,5881158,13644585,10202495,2108375,7.46,95.28,102.74,8.47,41.04,3.26,-0.31,2.95,ND,ND,0,-0.31,71.66,59.75,65.85,131.54,6.07
26,1975,República Mexicana,0,1882735,-173524,1709211,482874,15.76,ND,234986,61.13,66.68,63.86,29444095,7.92,ND,61462,ND,-173524,29549139,2365609,58993234,2244188,2000732,3185795,7625712,12739671,3664206,2479143,2975661,7116918,5187002,1177344,2288421,2017762,3194612,7565052,12599224,3616011,2439161,3050411,6916495,5304917,1006770,4532609,4018494,6380407,15190764,25338895,7280217,4918304,6026072,14033413,10491919,2184114,7.47,94.39,101.86,8.19,40.1,3.19,-0.29,2.9,ND,ND,0,-0.29,70.37,58.57,64.61,130.07,5.88
27,1976,República Mexicana,0,1881240,-171313,1709927,483874,15.99,ND,246274,61.29,67.18,64.18,30286894,8.01,ND,74961,ND,-171313,30415911,2365114,60702805,2312159,2073215,3307371,7930239,13197649,3823614,2589458,3041388,7326248,5334005,1219786,2356653,2089029,3313216,7857748,13039923,3768824,2544637,3118726,7117987,5453124,1039512,4668812,4162244,6620587,15787987,26237572,7592438,5134095,6160114,14444235,10787129,2259298,7.47,93.32,100.79,7.97,38.96,3.1,-0.28,2.82,ND,ND,0,-0.28,69.03,57.36,63.34,127.82,5.65
28,1977,República Mexicana,0,1884818,-171363,1713455,479017,16,ND,255662,61.64,67.97,64.74,31129123,8.1,ND,84299,ND,-171363,31285416,2363835,62414539,2380126,2143793,3427211,8244256,13672511,3986556,2703138,3098959,7547785,5482632,1262345,2424766,2158455,3429990,8159237,13495982,3924517,2652982,3178533,7330399,5603210,1071703,4804892,4302248,6857201,16403493,27168493,7911073,5356120,6277492,14878184,11085842,2334048,7.46,92.06,99.52,7.67,37.87,3.02,-0.27,2.75,ND,ND,0,-0.27,67.37,55.88,61.76,125.39,5.43
29,1978,República Mexicana,0,1893211,-173103,1720108,470092,16,ND,263548,62.34,68.76,65.48,31971694,8.21,ND,90445,ND,-173103,32159642,2363303,64131336,2449043,2212638,3544645,8566271,14163757,4151745,2819738,3146495,7782822,5630638,1305684,2493623,2226089,3544088,8467189,13965474,4081883,2763884,3227689,7554502,5753081,1104238,4942666,4438727,7088733,17033460,28129231,8233628,5583622,6374184,15337324,11383719,2409922,7.44,90.67,98.11,7.33,36.85,2.95,-0.27,2.68,ND,ND,0,-0.27,65.23,54.01,59.76,122.55,5.21
30,1979,República Mexicana,0,1896271,-179890,1716381,468053,16,ND,272195,62.62,69.36,65.91,32811683,8.32,ND,92305,ND,-179890,33037848,2364324,65849531,2519737,2280400,3659687,8894532,14670309,4317580,2938293,3181813,8031622,5774188,1349427,2563942,2292263,3655088,8778603,14445163,4238327,2875502,3264191,7789490,5898507,1136867,5083679,4572663,7314775,17673135,29115472,8555907,5813795,6446004,15821112,11672695,2486294,7.42,89.18,96.6,7.11,35.9,2.88,-0.27,2.61,ND,ND,0,-0.27,62.69,51.82,57.39,119.22,5.01
31,1980,República Mexicana,0,1897945,-190953,1706992,469223,16.3,ND,281437,62.86,69.69,66.2,33644009,8.44,ND,90484,ND,-190953,33917207,2367168,67561216,2592763,2347916,3772965,9229435,15190783,4482524,3057475,3205221,8291973,5908515,1392732,2636256,2357596,3763347,9092587,14931818,4391378,2985627,3288383,8032266,6034568,1168658,5229019,4705512,7536312,18322022,30122601,8873902,6043102,6493604,16324239,11943083,2561390,7.39,87.61,95,6.95,35.04,2.81,-0.28,2.53,ND,ND,0,-0.28,59.86,49.4,54.76,115.39,4.82
32,1981,República Mexicana,0,1911785,-205636,1706149,460206,16.7,ND,293744,63.6,70.4,66.93,34469942,8.56,ND,88108,ND,-205636,34797907,2371991,69267849,2668005,2416052,3885586,9568745,15725725,4645177,3175643,3220707,8565550,6029392,1436389,2710473,2422903,3869851,9406520,15426226,4540023,3093075,3304490,8285350,6157005,1200805,5378478,4838955,7755437,18975265,31151951,9185200,6268718,6525197,16850900,12186397,2637194,7.36,85.98,93.34,6.64,34.24,2.76,-0.3,2.46,ND,ND,0,-0.3,56.81,46.81,51.93,111.08,4.64
33,1982,República Mexicana,0,1927017,-222717,1704300,450682,17,ND,308996,64.31,71.22,67.69,35291566,8.7,ND,86279,ND,-222717,35681486,2377699,70973052,2744104,2485592,3998881,9908762,16276035,4804511,3291222,3233835,8856414,6132081,1482121,2785295,2489029,3975946,9717189,15929917,4683535,3196618,3318390,8552971,6261032,1234609,5529399,4974621,7974827,19625951,32205952,9488046,6487840,6552225,17409385,12393113,2716730,7.34,84.3,91.64,6.35,33.5,2.72,-0.31,2.4,ND,ND,0,-0.31,53.65,44.14,49.01,106.64,4.48
34,1983,República Mexicana,0,1937136,-244101,1693035,445888,17,ND,327591,65.18,71.41,68.25,36108862,8.86,ND,83490,ND,-244101,36562813,2383024,72671675,2818957,2557018,4113861,10248554,16840975,4959876,3403033,3248113,9163672,6214310,1529062,2859185,2556742,4083082,10025744,16444525,4822098,3295758,3333766,8835255,6344186,1270713,5678142,5113760,8196943,20274298,33285500,9781974,6698791,6581879,17998927,12558496,2799775,7.32,82.56,89.88,6.14,32.79,2.67,-0.34,2.33,ND,ND,0,-0.34,50.51,41.5,46.12,102.41,4.32
35,1984,República Mexicana,0,1947481,-265908,1681573,440711,17,ND,347413,65.81,71.92,68.83,36920992,9.04,ND,81505,ND,-265908,37438035,2388192,74359027,2890333,2630161,4230761,10587185,17419596,5111482,3510882,3263532,9486764,6277990,1576976,2930268,2626106,4191931,10332246,16970820,4956675,3390850,3350643,9132699,6408580,1309378,5820601,5256267,8422692,20919431,34390416,10068157,6901732,6614175,18619463,12686570,2886354,7.3,80.77,88.07,5.93,32.12,2.62,-0.36,2.26,ND,ND,0,-0.36,47.62,39.06,43.44,98.47,4.18
36,1985,República Mexicana,0,1947767,-286263,1661504,445001,17.47,ND,366476,66.06,72.06,69.02,37724679,9.23,ND,80213,ND,-286263,38305856,2392768,76030535,2955826,2703765,4348899,10923328,18010610,5260534,3615400,3279693,9825619,6326261,1626142,2995951,2696046,4302169,10635498,17507419,5088820,3482697,3368635,9444314,6457766,1349532,5951777,5399811,8651068,21558826,35518029,10349354,7098097,6648328,19269933,12784027,2975674,7.29,78.93,86.22,5.85,31.47,2.56,-0.38,2.19,ND,ND,0,-0.38,45.1,36.95,41.12,95.07,4.04
37,1986,República Mexicana,0,1961650,-304721,1656929,435585,17.98,ND,384565,66.88,72.76,69.78,38522521,9.45,ND,79844,ND,-304721,39167236,2397235,77689757,3012942,2775910,4466865,11255301,18612517,5408782,3717827,3295682,10180923,6363204,1677732,3053396,2765332,4413300,10935894,18054693,5220880,3572912,3386843,9770705,6496166,1392084,6066338,5541242,8880165,22191195,36667210,10629662,7290739,6682525,19951628,12859370,3069816,7.28,77.06,84.35,5.61,30.86,2.52,-0.39,2.13,ND,ND,0,-0.39,42.94,35.14,39.14,92.28,3.91
38,1987,República Mexicana,0,1965606,-323074,1642532,436227,18,ND,403556,67.26,73.09,70.14,39316464,9.7,ND,80482,ND,-323074,40023034,2401833,79339498,3059795,2844517,4582196,11580701,19222929,5557360,3819681,3310617,10553374,6393002,1732570,3100524,2832160,4523238,11232143,18611421,5354333,3663255,3404311,10112663,6528234,1437788,6160319,5676677,9105434,22812844,37834350,10911693,7482936,6714928,20666037,12921236,3170358,7.29,75.19,82.48,5.5,30.27,2.48,-0.41,2.07,ND,ND,0,-0.41,40.99,33.5,37.34,90.12,3.78
39,1988,República Mexicana,0,1962949,-343276,1619673,443546,18.02,ND,425571,67.24,73.31,70.24,40100754,9.96,ND,82295,ND,-343276,40869852,2406495,80970606,3094077,2907118,4691087,11895984,19837179,5706135,3922166,3324139,10941797,6420421,1789240,3135186,2893682,4627708,11520158,19171839,5488820,3754794,3420463,10467868,6558819,1484495,6229263,5800800,9318795,23416142,39009018,11194955,7676960,6744602,21409665,12979240,3273735,7.3,73.33,80.63,5.48,29.72,2.42,-0.42,2,ND,ND,0,-0.42,39.1,31.91,35.59,88.5,3.66
40,1989,República Mexicana,0,1962092,-364889,1597203,449245,18.6,ND,449906,67.49,73.49,70.46,40873422,10.24,ND,85017,ND,-364889,41705610,2411337,82579032,3116096,2961172,4789495,12197452,20450133,5853982,4025659,3336557,11345371,6448004,1847840,3157734,2946814,4722478,11796303,19731180,5623592,3847928,3435470,10835772,6590459,1532509,6273830,5907986,9511973,23993755,40181313,11477574,7873587,6772027,22181143,13038463,3380349,7.32,71.52,78.84,5.44,29.2,2.38,-0.44,1.93,ND,ND,0,-0.44,40.24,32.81,36.62,87.21,3.55
41,1990,República Mexicana,0,1969095,-385228,1583867,446498,19,ND,473828,67.97,73.94,70.93,41637951,10.53,ND,88600,ND,-385228,42531620,2415593,84169571,3129734,3004826,4874288,12482163,21057421,5999059,4129597,3348434,11763589,6475262,1909244,3172188,2989549,4804411,12057981,20286243,5757087,3942225,3449833,11217121,6622556,1583299,6301922,5994375,9678699,24540144,41343664,11756146,8071822,6798267,22980710,13097818,3492543,7.35,69.77,77.12,5.3,28.7,2.34,-0.46,1.88,ND,ND,0,-0.46,38.39,31.27,34.91,86.14,3.45
42,1991,República Mexicana,0,1980503,-406014,1574489,437758,19,ND,498944,68.63,74.61,71.59,42397268,10.85,ND,92930,ND,-406014,43351474,2418261,85748742,3139960,3035630,4941504,12748241,21657138,6139697,4233823,3359074,12196855,6500583,1974107,3183428,3020344,4871316,12307947,20839145,5891151,4040179,3461371,11611270,6651984,1636854,6323388,6055974,9812820,25056188,42496283,12030848,8274002,6820445,23808125,13152567,3610961,7.39,68.09,75.48,5.11,28.2,2.31,-0.47,1.84,ND,ND,0,-0.47,34.07,27.73,30.98,85.3,3.36
43,1992,República Mexicana,0,1978229,-425602,1552627,440340,19.41,ND,523882,68.92,74.9,71.89,43148193,11.19,ND,98280,ND,-425602,44164144,2418569,87312337,3150892,3054856,4991103,12994166,22245436,6272288,4336041,3368357,12640988,6524397,2042702,3194956,3038403,4919205,12540523,21383832,6019469,4138667,3469811,12016490,6678053,1693496,6345848,6093259,9910308,25534689,43629268,12291757,8474708,6838168,24657478,13202450,3736198,7.44,66.51,73.96,5.04,27.7,2.27,-0.49,1.78,ND,ND,0,-0.49,32.78,26.65,29.79,84.64,3.27
44,1993,República Mexicana,0,1968744,-444261,1524483,447494,20,ND,548902,69.19,74.88,72.02,43885935,11.54,ND,104641,ND,-444261,44964921,2416238,88850856,3162685,3066055,5025554,13220307,22821715,6392080,4432581,3377106,13094847,6546484,2113325,3207525,3046117,4946250,12744638,21908279,6128496,4228363,3479296,12432240,6703278,1753113,6370210,6112172,9971804,25964945,44729994,12520576,8660944,6856402,25527087,13249762,3866438,7.51,65.04,72.55,5.04,27.19,2.22,-0.5,1.72,ND,ND,0,-0.5,31.68,25.73,28.78,84.07,3.18
45,1994,República Mexicana,0,1958065,-458917,1499148,451820,20,ND,570994,69.44,75.09,72.25,44608911,11.91,ND,112077,ND,-458917,45753798,2409885,90362709,3175329,3075162,5050328,13431188,23388157,6496569,4521403,3386526,13556953,6566871,2185518,3221373,3052823,4963390,12928076,22416622,6216999,4306432,3491164,12855452,6727131,1815227,6396702,6127985,10013718,26359264,45804779,12713568,8827835,6877690,26412405,13294002,4000745,7.58,63.65,71.23,5,26.67,2.17,-0.51,1.66,ND,ND,0,-0.51,30.76,24.97,27.94,83.48,3.09
46,1995,República Mexicana,0,1930935,-467708,1463227,463308,20.34,ND,587099,69.5,75,72.24,45313877,12.29,ND,119391,ND,-467708,46530028,2394243,91843905,3188683,3086452,5070440,13626664,23941998,6582889,4598901,3397367,14024633,6587264,2259278,3236181,3063633,4978474,13094015,22909389,6284659,4369818,3505345,13282987,6749908,1879187,6424864,6150085,10048914,26720679,46851387,12867548,8968719,6902712,27307620,13337172,4138465,7.66,62.33,69.99,5.04,26.07,2.1,-0.51,1.59,ND,ND,0,-0.51,29.94,24.29,27.19,82.76,3.01
47,1996,República Mexicana,0,1915531,-476944,1438587,461754,21,ND,599906,69.96,75.37,72.66,46000753,12.68,ND,122962,ND,-476944,47294030,2377285,93294783,3201363,3098439,5087821,13802391,24482055,6648919,4659537,3407129,14503718,6608490,2335509,3250687,3075834,4992439,13237615,23383688,6330050,4413445,3519036,13718873,6773906,1945559,6452050,6174273,10080260,27040006,47865743,12978969,9072982,6926165,28222591,13382396,4281068,7.75,61.07,68.82,4.95,25.48,2.05,-0.51,1.54,ND,ND,0,-0.51,29.09,23.58,26.4,82.08,2.92
48,1997,República Mexicana,0,1902375,-489582,1412793,459882,21,ND,610352,70.36,75.85,73.09,46670680,13.11,ND,120770,ND,-489582,48049861,2362257,94720541,3213364,3111724,5107522,13962901,25012603,6700021,4704223,3411861,14995639,6631753,2415913,3265036,3090041,5009687,13358668,23838298,6355843,4436197,3527594,14163610,6802266,2014920,6478400,6201765,10117209,27321569,48850901,13055864,9140420,6939455,29159249,13434019,4430833,7.84,59.86,67.7,4.86,24.94,2.01,-0.52,1.49,ND,ND,0,-0.52,28.13,22.79,25.53,81.32,2.85
